ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,new_income,age_cat
00403U35TW,28,F,"139,173",406,1,139173,3
00408L45WP,61,F,"369,072",82,0,369072,1
00408Y08KQ,32,M,"151,120",331,1,151120,2
00410R16TC,25,F,"398,736",279,0,398736,2
00417A28PT,28,M,"215,760",418,1,215760,3
00419G61MI,38,F,"317,861",341,0,317861,2
00419O42OQ,52,M,"215,426",298,1,215426,2
00419V35NQ,43,M,"366,221",431,1,366221,3
00429R01AE,30,M,"139,415",249,0,139415,2
00431G07OO,52,M,"431,286",399,1,431286,3
00436Y85OW,49,F,"750,840",496,1,750840,3
00440N64KQ,51,M,"195,015",84,0,195015,1
00444U00JB,32,F,"488,667",15,0,488667,1
00453H15DP,33,M,"267,485",397,1,267485,3
00455K70WT,41,M,"420,102",330,0,420102,2
00459L34ID,54,F,"530,883",302,0,530883,2
00461I28ID,46,M,"326,522",361,1,326522,3
00464V67EK,35,F,"240,805",281,1,240805,2
00473N34QJ,46,M,"539,405",927,1,539405,4
00475I88MC,43,M,"259,877",428,1,259877,3
00493W41NP,32,F,"330,119",396,1,330119,3
00500S08SF,39,M,"280,888",498,1,280888,3
00501G72LQ,36,F,"427,181",265,0,427181,2
00501L02HF,53,M,"339,461",238,1,339461,2
00501T24RS,32,M,"269,414",333,0,269414,2
00502D01IX,34,M,"205,253",286,0,205253,2
00504A56CT,59,M,"500,732",209,0,500732,2
00504T00RT,33,M,"243,617",372,1,243617,3
00507E06MF,49,M,"134,492",479,0,134492,3
00517Y96VA,62,F,"293,661",298,0,293661,2
00518J26YC,27,F,"447,013",313,1,447013,2
00518T21SS,63,F,"181,069",463,1,181069,3
00520M39VD,33,F,"317,437",56,0,317437,1
00520U36PQ,63,F,"403,709",821,1,403709,4
00522N86WP,27,M,"205,214",596,1,205214,4
00525V37OB,54,F,"450,053",361,1,450053,3
00530T87YG,61,F,"199,896",416,1,199896,3
00533R36MW,62,F,"194,712",150,0,194712,1
00539H54NQ,45,M,"137,660",201,0,137660,2
00542P53PF,58,F,"481,856",571,1,481856,4
00543L30OC,58,M,"126,174",240,0,126174,2
00546N40AX,43,F,"734,605",260,0,734605,2
00546X20AD,33,F,"382,048",254,1,382048,2
00548N04YU,59,F,"203,056",306,0,203056,2
00551U40CI,52,M,"465,582",168,1,465582,1
00553H11CJ,50,M,"212,319",431,0,212319,3
00553J02LM,46,F,"366,016",125,0,366016,1
00556C70FP,43,F,"661,573",562,1,661573,4
00560M12PX,63,F,"411,613",686,1,411613,4
00567R64FM,37,M,"397,731",213,1,397731,2
00568J65SH,55,M,"138,584",975,1,138584,4
00569N86LZ,28,F,"177,483",332,1,177483,2
00570A36UB,55,M,"776,224",518,1,776224,4
00573A72IV,63,M,"688,604",483,1,688604,3
00573H82YB,29,F,"457,411",286,1,457411,2
00573O29KC,29,F,"498,557",423,1,498557,3
00581Q10GK,36,M,"290,958",275,0,290958,2
00581V89BY,60,F,"479,149",339,1,479149,2
00586N32TT,41,M,"176,922",324,1,176922,2
00586U96UR,49,M,"405,799",275,1,405799,2
00588Z20CE,57,F,"94,773",326,0,94773,2
00591L30JZ,63,F,"413,181",529,1,413181,4
00596L21AG,36,F,"608,235",500,0,608235,4
00597M73JU,59,M,"347,636",426,1,347636,3
00597U80TD,57,F,"199,264",30,1,199264,1
00597Y41ON,49,F,"683,741",335,0,683741,2
00600R42WH,41,M,"265,642",278,0,265642,2
00604N95HR,40,F,"511,939",343,1,511939,2
00607C34QX,28,F,"434,555",301,1,434555,2
00607J41MX,59,F,"237,955",181,1,237955,1
00614D96HJ,27,M,"230,490",348,0,230490,2
00618Q42CL,35,M,"150,900",443,1,150900,3
00619C80OJ,50,F,"458,736",60,0,458736,1
00620C55TZ,38,M,"572,869",488,1,572869,3
00621B59JV,64,M,"113,709",626,0,113709,4
00622Q85VX,56,F,"241,616",120,0,241616,1
00627F51PE,49,M,"495,549",141,1,495549,1
00632Y77VT,41,F,"529,835",446,1,529835,3
00633V61EC,57,M,"471,821",45,1,471821,1
00636I79LV,56,M,"378,477",463,1,378477,3
00638O43EA,51,F,"367,565",237,0,367565,2
00641G28YH,61,M,"109,837",311,1,109837,2
00643U81CS,30,M,"235,558",284,0,235558,2
00649W73YA,51,F,"477,813",230,1,477813,2
00655D11UW,31,M,"112,574",369,0,112574,3
00658H28XP,35,F,"151,637",315,1,151637,2
00658R45HF,53,M,"787,609",802,1,787609,4
00659T59XL,30,F,"437,995",349,0,437995,2
00666Q86JT,39,M,"444,372",337,1,444372,2
00667B13SX,62,M,"411,862",422,1,411862,3
00669I59LZ,33,F,"368,384",349,1,368384,2
00674D31IS,47,F,"659,317",290,1,659317,2
00674H38AW,60,F,"482,248",411,0,482248,3
00677W20SF,33,F,"239,741",389,0,239741,3
00682D83FR,51,M,"793,627",513,1,793627,4
00683H66HF,29,F,"466,160",120,1,466160,1
00684U17QW,59,M,"166,379",257,0,166379,2
00692P42OU,36,M,"443,703",442,0,443703,3
00697M49YH,55,M,"122,931",481,0,122931,3
00698O55HC,55,M,"110,499",231,0,110499,2
00704C92HW,51,F,"88,680",87,0,88680,1
00705G84QD,34,F,"342,933",482,1,342933,3
00705J21XS,30,M,"257,651",79,0,257651,1
00705Q74LP,33,F,"331,717",346,0,331717,2
00706L25FX,62,M,"137,580",344,0,137580,2
00717V64OY,48,M,"385,394",424,1,385394,3
00717W67CY,64,M,"779,778",380,1,779778,3
00719I75XG,47,M,"170,486",238,0,170486,2
00719L34GW,48,F,"347,008",487,1,347008,3
00726J74XT,48,F,"483,365",325,1,483365,2
00727W36KD,54,F,"303,965",71,0,303965,1
00730M90XX,36,M,"196,575",350,1,196575,2
00733E14KR,55,F,"408,051",98,0,408051,1
00741J06PK,64,M,"106,193",790,0,106193,4
00741O96XC,42,F,"341,971",891,0,341971,4
00743F31QF,34,F,"401,235",253,0,401235,2
00744S19FN,59,M,"308,839",107,0,308839,1
00746S00UV,65,F,"166,531",15,0,166531,1
00748R62RR,46,F,"459,747",938,1,459747,4
00750T82EG,25,F,"379,876",340,0,379876,2
00751P30ZX,48,F,"531,717",798,1,531717,4
00752S07GF,51,F,"358,352",878,1,358352,4
00753Y39FX,28,F,"469,075",252,0,469075,2
00754G43CV,31,F,"334,384",371,1,334384,3
00755W40EI,44,M,"181,029",334,0,181029,2
00757R94ZC,56,M,"740,746",140,1,740746,1
00759T72LN,51,F,"378,904",405,1,378904,3
00760K33VH,51,F,"421,677",779,1,421677,4
00763N11CY,56,F,"171,003",507,0,171003,4
00764I35GI,53,M,"513,727",786,1,513727,4
00764Z54EI,56,F,"87,859",401,0,87859,3
00768Z00MB,41,M,"394,836",254,0,394836,2
00768Z27FB,63,M,"633,688",255,0,633688,2
00769R93WL,45,F,"326,555",342,1,326555,2
00772D21XX,44,M,"478,692",423,1,478692,3
00774B38EU,59,F,"272,045",300,1,272045,2
00779J88GP,30,F,"255,157",173,1,255157,1
00784Q15XZ,54,M,"142,597",50,1,142597,1
00788W35OF,65,F,"321,733",167,1,321733,1
00789T30IT,41,F,"608,949",43,0,608949,1
00799J78SE,33,F,"445,744",324,0,445744,2
00801Q34ZT,33,F,"487,368",275,0,487368,2
00805J05YV,31,M,"286,693",224,0,286693,2
00807X19YS,54,M,"367,247",167,1,367247,1
00810O95VM,27,M,"191,639",962,1,191639,4
00816A48NH,53,F,"319,445",685,1,319445,4
00819E21EA,33,M,"194,434",286,0,194434,2
00825B43UX,62,M,"391,364",146,0,391364,1
00830V58JE,41,M,"592,416",8,0,592416,1
00831G80LP,47,M,"293,732",380,1,293732,3
00831N50BR,47,M,"146,687",457,1,146687,3
00836Z49AU,37,M,"482,575",360,1,482575,3
00842A00HN,25,M,"161,457",105,1,161457,1
00843D54RP,35,M,"287,076",352,0,287076,2
00843M17XT,29,M,"171,903",182,0,171903,1
00845Q81TK,38,M,"744,203",236,1,744203,2
00846L25IB,36,M,"758,280",161,1,758280,1
00850H53IL,30,M,"285,007",796,1,285007,4
00850P15CY,30,F,"478,325",464,1,478325,3
00857V22KA,37,M,"434,249",318,0,434249,2
00858L44ZP,31,F,"372,776",244,0,372776,2
00859U97GB,53,M,"248,346",285,0,248346,2
00860W36CG,39,M,"387,742",209,1,387742,2
00863P24UX,43,M,"252,653",389,1,252653,3
00865M93YQ,40,M,"304,007",226,0,304007,2
00867G02AW,63,F,"488,995",648,0,488995,4
00873Y86OK,61,F,"129,037",418,0,129037,3
00875I88FU,51,F,"119,389",327,0,119389,2
00877B53FP,64,M,"297,888",41,0,297888,1
00881N43MB,46,M,"488,740",388,1,488740,3
00883P48KD,52,F,"372,019",464,1,372019,3
00884B00YM,65,F,"407,683",398,0,407683,3
00884O08HH,54,F,"199,381",268,0,199381,2
00886G69MO,62,M,"432,126",148,0,432126,1
00886M72WM,35,F,"453,600",300,0,453600,2
00889K93BP,63,F,"281,781",783,1,281781,4
00891G22PA,59,F,"520,701",323,1,520701,2
00894L73AU,26,M,"169,736",279,0,169736,2
00898C15VM,64,F,"282,091",500,1,282091,4
00901N73RR,39,M,"398,483",470,1,398483,3
00901R07PT,51,F,"516,285",485,1,516285,3
00903H73ZK,46,M,"164,721",473,1,164721,3
00904F99MB,49,M,"548,824",146,1,548824,1
00904I84IS,49,M,"291,493",460,1,291493,3
00904P31DT,37,F,"665,368",295,1,665368,2
00905S42UB,51,F,"446,627",490,1,446627,3
00906I17QD,65,M,"391,174",326,0,391174,2
00907E28ZU,59,F,"136,861",244,0,136861,2
00908X63WZ,35,M,"100,259",480,1,100259,3
00912D28FF,64,F,"426,720",227,1,426720,2
00913B67KG,38,M,"330,965",364,1,330965,3
00913R99BU,57,M,"781,754",181,1,781754,1
00913V31TE,40,M,"212,213",284,1,212213,2
00915M41NY,51,M,"485,904",850,1,485904,4
00919E90FE,61,F,"171,549",254,0,171549,2
00922G84AU,37,M,"264,193",268,0,264193,2
00922L29OE,28,F,"196,229",257,0,196229,2
00924F05LC,59,F,"457,080",348,0,457080,2
00925V03AX,58,M,"635,837",360,1,635837,3
00930E10QS,35,M,"298,021",488,1,298021,3
00931S31VF,42,F,"630,717",217,1,630717,2
00934C21WS,48,M,"290,833",207,0,290833,2
00934D48UJ,36,M,"374,075",396,1,374075,3
00939Z87HR,39,M,"125,176",255,0,125176,2
00940B89BJ,60,F,"127,029",969,1,127029,4
00943D49FD,59,F,"316,667",603,0,316667,4
00943K45TT,36,F,"274,872",810,1,274872,4
00947C06UC,30,M,"178,731",259,1,178731,2
00947N26ZQ,60,F,"132,224",163,0,132224,1
00948K59ZW,53,F,"513,061",995,1,513061,4
00948M19XF,47,F,"344,040",958,1,344040,4
00955D34KU,50,F,"279,883",993,0,279883,4
00955L04CY,45,M,"331,459",357,1,331459,2
00955S92OW,43,M,"582,915",132,1,582915,1
00956F58IS,48,M,"347,048",298,0,347048,2
00957D43YN,30,M,"110,721",373,1,110721,3
00960O30FX,56,F,"200,357",84,0,200357,1
00960S45IJ,35,M,"170,833",212,1,170833,2
00964H06PP,52,F,"345,691",288,1,345691,2
00966F87IK,27,F,"267,669",233,1,267669,2
00967L28RH,56,M,"589,550",365,1,589550,3
00973W52MM,34,F,"144,389",457,0,144389,3
00978Y74ZX,45,F,"318,032",205,1,318032,2
00983W88PB,39,M,"241,906",410,1,241906,3
00986K76BF,34,M,"195,720",44,0,195720,1
00988D64KD,38,M,"436,892",307,0,436892,2
00989J36PB,40,M,"328,892",457,0,328892,3
00989P99TT,31,M,"287,206",865,1,287206,4
00991S22SR,52,M,"594,865",142,1,594865,1
00992F39EM,61,F,"243,053",144,0,243053,1
00993V00RU,59,M,"335,735",696,1,335735,4
00994U87KV,31,F,"365,858",223,1,365858,2
00995P51TZ,53,M,"351,715",386,1,351715,3
00996M74JK,26,F,"368,552",373,0,368552,3
01000F22UP,46,M,"120,648",144,0,120648,1
01001K33KH,39,F,"406,216",324,0,406216,2
01008F40OS,39,F,"723,461",172,0,723461,1
01008Q99DM,26,F,"350,271",205,1,350271,2
01009Q00IV,62,M,"112,922",209,0,112922,2
01015G52MH,40,F,"339,328",489,1,339328,3
01016U44AD,65,F,"236,016",769,1,236016,4
01021O87OI,32,M,"177,884",307,1,177884,2
01024G80SN,64,M,"301,744",525,1,301744,4
01024T77TL,64,M,"72,138",84,0,72138,1
01025V55XI,36,F,"287,733",464,1,287733,3
01026K03TS,30,F,"337,248",265,0,337248,2
01026W37VZ,37,M,"521,923",184,1,521923,1
01029J74EU,62,M,"725,155",427,1,725155,3
01030K68WE,63,M,"154,494",426,1,154494,3
01031I91IC,26,M,"114,319",287,0,114319,2
01036B63OU,47,F,"454,235",282,1,454235,2
01037M22VF,63,M,"535,350",219,1,535350,2
01037X90QY,55,F,"374,984",352,1,374984,2
01039S40NE,44,M,"226,511",485,0,226511,3
01040P22BU,61,M,"570,420",337,1,570420,2
01041H87VD,36,M,"667,101",169,1,667101,1
01058C29CA,44,M,"379,859",354,0,379859,2
01059W32LZ,25,F,"218,589",52,0,218589,1
01062D39OT,38,M,"451,147",320,1,451147,2
01067H72OL,27,F,"440,149",219,1,440149,2
01069V95BZ,34,M,"248,961",398,1,248961,3
01071U56OU,65,M,"451,333",362,0,451333,3
01072B91IF,60,F,"479,821",481,1,479821,3
01074R68ZA,34,M,"209,863",284,1,209863,2
01077C41QN,61,M,"489,814",870,0,489814,4
01084S44QF,40,F,"701,277",456,1,701277,3
01088S10VR,44,M,"375,053",214,1,375053,2
01089Z30MG,35,M,"215,735",832,1,215735,4
01090Q97CU,38,M,"444,794",338,0,444794,2
01093I81KX,54,F,"463,251",820,1,463251,4
01111S41MP,60,M,"726,145",301,1,726145,2
01115B12VM,43,M,"382,163",415,0,382163,3
01115E84NE,26,M,"156,735",862,1,156735,4
01115L00ID,37,F,"587,728",321,1,587728,2
01116E98YG,64,M,"356,890",180,0,356890,1
01117C91ZQ,51,M,"367,024",388,1,367024,3
01119R35PW,27,M,"293,422",273,1,293422,2
01119V81EZ,52,F,"495,043",286,1,495043,2
01121M25DE,37,M,"311,387",262,1,311387,2
01122K24CQ,33,F,"403,633",259,1,403633,2
01122U04YX,42,M,"432,658",275,1,432658,2
01123T67XK,33,M,"192,157",7,1,192157,1
01124S12FS,53,M,"74,438",198,0,74438,1
01127D22EI,53,M,"766,460",330,1,766460,2
01129I96LR,51,F,"251,027",181,0,251027,1
01129P63AG,47,F,"373,136",947,1,373136,4
01133L81RM,36,M,"544,405",488,1,544405,3
01136Y83CP,62,M,"312,569",437,1,312569,3
01137U37JQ,38,M,"442,213",429,1,442213,3
01142O70VF,60,F,"278,773",260,0,278773,2
01142Y75AB,60,F,"321,181",1016,1,321181,4
01147F40TX,48,M,"375,688",218,1,375688,2
01147I00YN,40,F,"521,824",585,1,521824,4
01149Y43AP,37,F,"328,237",55,0,328237,1
01150J25WQ,30,M,"258,885",405,0,258885,3
01150O25WT,34,F,"466,139",304,1,466139,2
01151O52VB,48,M,"360,592",327,0,360592,2
01151P20QC,43,M,"126,507",400,1,126507,3
01151S65CN,60,F,"91,605",55,0,91605,1
01151U07NQ,57,F,"467,715",344,0,467715,2
01153G04UQ,55,M,"194,008",105,1,194008,1
01162I66HE,56,F,"418,717",72,0,418717,1
01163O49BB,43,M,"362,258",326,0,362258,2
01168U92UH,59,F,"358,632",486,1,358632,3
01170E37DL,25,M,"210,229",434,1,210229,3
01177D02SI,65,F,"500,301",838,1,500301,4
01178S34US,33,F,"244,272",299,0,244272,2
01181X33GY,44,F,"367,720",43,0,367720,1
01185T25PE,63,M,"391,285",276,1,391285,2
01185X55LI,26,F,"250,256",262,0,250256,2
01187X32PV,56,F,"154,483",435,1,154483,3
01191Z12SW,48,M,"390,169",338,1,390169,2
01201C34CR,27,M,"190,820",342,1,190820,2
01202B27LS,25,M,"223,470",496,1,223470,3
01202D16CI,43,M,"616,413",488,1,616413,3
01207M12BE,30,F,"421,264",440,1,421264,3
01211Z26TM,55,M,"744,584",341,0,744584,2
01217O13GL,40,M,"261,481",330,0,261481,2
01218M24CA,33,F,"193,461",337,0,193461,2
01219F31JE,38,M,"629,440",427,1,629440,3
01222W90CM,55,M,"209,813",286,0,209813,2
01229G22XZ,55,F,"187,621",269,0,187621,2
01230B25YI,55,M,"626,450",355,0,626450,2
01230Q41MR,30,F,"457,941",451,1,457941,3
01235Q72WC,26,M,"204,953",454,0,204953,3
01239I93SO,56,M,"349,492",358,1,349492,2
01242T24SV,49,F,"462,115",435,1,462115,3
01248F66UL,56,F,"213,021",978,1,213021,4
01248J78OL,36,M,"144,461",384,1,144461,3
01248W16MI,32,M,"182,430",458,1,182430,3
01249M61OV,56,F,"395,056",451,1,395056,3
01256I00DB,42,F,"424,968",800,1,424968,4
01260Z65MJ,38,F,"369,701",691,1,369701,4
01261N00UV,60,F,"336,363",429,1,336363,3
01262A70MN,56,F,"170,069",129,0,170069,1
01264K53ZA,30,F,"362,253",180,1,362253,1
01264V06YQ,60,F,"184,869",238,0,184869,2
01266B11JM,55,M,"220,360",883,1,220360,4
01267J14BB,52,F,"406,371",500,1,406371,4
01269X42KK,48,F,"387,003",206,1,387003,2
01272A34ZJ,41,F,"335,448",204,0,335448,2
01272L91DZ,39,M,"423,928",380,0,423928,3
01281R96GU,63,F,"503,021",699,0,503021,4
01282J12RZ,27,M,"284,696",397,1,284696,3
01283P16QE,40,M,"409,777",340,1,409777,2
01285R23JP,45,M,"379,523",476,1,379523,3
01287Y56WB,26,M,"111,299",329,0,111299,2
01289Q32ZT,35,M,"165,875",189,0,165875,1
01301S73UW,47,M,"351,466",336,0,351466,2
01306A61HR,61,F,"439,907",115,0,439907,1
01307Y56MZ,39,M,"414,981",236,1,414981,2
01309P43PO,25,F,"421,603",446,1,421603,3
01313I14RI,40,M,"799,875",423,1,799875,3
01315M01JZ,40,M,"275,369",388,1,275369,3
01315V78UP,47,M,"320,075",221,0,320075,2
01316H43SG,29,F,"164,517",325,0,164517,2
01326C26MX,41,F,"532,800",351,1,532800,2
01327S33IW,62,M,"200,148",565,1,200148,4
01333F92VU,43,M,"248,003",478,1,248003,3
01333I37CN,26,F,"482,744",392,1,482744,3
01333U14NG,27,F,"355,050",458,0,355050,3
01336T52XP,35,M,"102,165",422,1,102165,3
01337Z14BA,48,F,"469,771",464,1,469771,3
01338T72OP,45,M,"196,040",436,1,196040,3
01342I16ML,35,M,"144,078",82,0,144078,1
01345N44CG,31,F,"304,512",422,1,304512,3
01346C84YK,31,F,"156,101",129,0,156101,1
01351A55CA,34,M,"142,028",508,1,142028,4
01351P26AS,46,M,"397,192",445,1,397192,3
01353U16FZ,28,F,"269,272",487,1,269272,3
01354R98LA,59,F,"191,136",577,1,191136,4
01354T67WW,53,F,"88,621",215,0,88621,2
01355Q80VJ,34,F,"334,659",436,1,334659,3
01356F57TA,39,F,"574,168",484,0,574168,3
01356M83WX,34,F,"336,480",218,1,336480,2
01357N30JU,54,M,"535,432",434,1,535432,3
01358N59YL,55,F,"209,859",301,0,209859,2
01364G45TM,44,F,"330,200",252,0,330200,2
01369W49CR,47,F,"471,397",306,1,471397,2
01369W98MB,56,F,"379,280",602,1,379280,4
01372W11BU,51,F,"152,221",447,1,152221,3
01376K94JZ,62,F,"493,149",214,1,493149,2
01380W63OL,55,F,"187,149",429,1,187149,3
01380X67FY,49,M,"197,610",388,1,197610,3
01381B03VW,52,F,"292,589",767,1,292589,4
01382D56FL,41,F,"423,469",521,1,423469,4
01383M58FX,34,M,"222,326",404,1,222326,3
01383Q36KW,64,M,"415,455",414,1,415455,3
01383W35PB,62,M,"708,848",688,1,708848,4
01384I98ZU,28,M,"105,102",480,0,105102,3
01388S72KJ,26,M,"108,929",121,0,108929,1
01393Q21RX,39,M,"331,557",207,1,331557,2
